Order,Family,IUCN_name,IUCN_Status,Frequency_month,Survey_interval_days,Road_length_km,Survey_period_days,Latitude,Longitude,Country,Roadkill_rate_ind_km_y,Roadkillrate_corrected,AdultBodyMass_g_median,Home_range_Km2,longevity_y,Ageofmaturity_d,SocialGrpSize,Activity_1Diurnal_2Nocturnal,Litter_clutch_size,Litters_or_clutches_per_y,Diet_breadth,Habitat_breadth,Population density_IndKm2
Primates,Atelidae,alouatta caraya,NT,2,14,920,426,-20.490151,-54.80721,Brazil,0.000931313,0.001356923,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,4,7,90,610,-25.54553,-48.78396,Brazil,0.006648452,0.009686795,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.009812883,0.014297371,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,4,7,70,214,-20.187971,-54.806624,Brazil,0.024365821,0.035501001,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,1.83,15.30054645,63,365,-15.79053,-56.654475,Brazil,0.015873016,0.023126984,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,1,28,802,396,-17.859419,-51.730303,Brazil,0.00344782,0.005023474,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,1,28,280,365,-15.159661,-56.55916,Brazil,0.007142857,0.010407143,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,4,7,115,365,-11.904988,-48.737133,Brazil,0.008695652,0.012669565,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta palliata,VU,2,14,94.9,365,10.020301,-83.215233,Costa_Rica,0.042149631,0.061412012,6576.99,0.19,22,1287.4428,13.1,1,1.01,0.6,2,1,22.295
Primates,Atelidae,alouatta seniculus,LC,8,3.5,178.8,91,9.017987,-73.633823,Colombia,0.044865649,0.065369251,6398.31,0.1,25,1672.76256,7.9,1,1.2,0.815,2,2,30
Carnivora,Procyonidae,bassariscus astutus,LC,2.83,9.893992933,112,365,19.535661,-97.381011,Mexico,0.008928571,0.015303571,1010.37,0.74,16,300,,2,3,1,3,7,
Pilosa,Bradypodidae,bradypus tridactylus,LC,4.63,7.22,107,762,-2.323301,-60.044455,Brazil,0.00895332,0.013044987,4072.9,2.5,25.82083333,601.59454,1,2,1,1,1,1,
Pilosa,Bradypodidae,bradypus variegatus,LC,2,14,94.9,365,10.020301,-83.215233,Costa_Rica,0.031612223,0.046059009,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
Pilosa,Bradypodidae,bradypus variegatus,LC,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.025156254,0.03008688,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
Pilosa,Bradypodidae,bradypus variegatus,LC,2,14,71,335,10.468506,-84.657612,Costa_Rica,0.015345806,0.022358839,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
Pilosa,Bradypodidae,bradypus variegatus,LC,8,3.5,38.92,92,9.245341,-79.64701,Panama,0.407748335,0.594089324,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
Pilosa,Bradypodidae,bradypus variegatus,LC,4.63,7.22,107,762,-2.323301,-60.044455,Brazil,0.00895332,0.013044987,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
Primates,Callitrichidae,callithrix geoffroyi,LC,672,0.041666667,57.5,1765,-20.580677,-40.417217,Brazil,0.03596502,0.03596502,342,0.23,16.5,477,,1,2.24,2,4,1,9.7
Primates,Callitrichidae,callithrix jacchus,LC,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.019765628,0.031842427,290.21,0.02,16.25,477,8.55,1,2.275,2,4,2,671
Primates,Callitrichidae,callithrix penicillata,LC,2,14,12.8,488,-13.903857,-40.018298,Brazil,0.116867316,0.20031058,339.98,0.01,15.7,477,5.9,1,2,2,4,1,40
Primates,Callitrichidae,callithrix penicillata,LC,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.004906442,0.008409642,339.98,0.01,15.7,477,5.9,1,2,2,4,1,40
Primates,Callitrichidae,callithrix penicillata,LC,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.005390626,0.007563048,339.98,0.01,15.7,477,5.9,1,2,2,4,1,40
Primates,Callitrichidae,callithrix penicillata,LC,4,7,96,365,-19.36333333,-48.07916667,Brazil,0.03125,0.0535625,339.98,0.01,15.7,477,5.9,1,2,2,4,1,40
Primates,Callitrichidae,callithrix penicillata,LC,4,7,192,365,-19.278735,-48.122972,Brazil,0.015625,0.02678125,339.98,0.01,15.7,477,5.9,1,2,2,4,1,40
Primates,Callitrichidae,callithrix penicillata,LC,1,28,802,396,-17.859419,-51.730303,Brazil,0.001149273,0.001969854,339.98,0.01,15.7,477,5.9,1,2,2,4,1,40
Primates,Callitrichidae,callithrix penicillata,LC,16,1.75,130,304,-20.675583,-43.349806,Brazil,0.03694332,0.05641245,339.98,0.01,15.7,477,5.9,1,2,2,4,1,40
Didelphimorphia,Didelphidae,caluromys philander,LC,672,0.041666667,57.5,1765,-20.580677,-40.417217,Brazil,0.039561522,0.039561522,246.47,0.00996,7.616666667,309.26,1,2,4.26,2,5,2,40
Didelphimorphia,Didelphidae,caluromys philander,LC,1,28,280,365,-15.159661,-56.55916,Brazil,0.007142857,0.014071428,246.47,0.00996,7.616666667,309.26,1,2,4.26,2,5,2,40
Carnivora,Canidae,canis latrans,LC,2.83,9.893992933,112,365,19.535661,-97.381011,Mexico,0.017857143,0.026017857,11989.1,18.88,21.79583333,313.18644,,2,5.6625,1,3,8,0.0343
Rodentia,Caviidae,cavia aperea,LC,3,9.333333333,26,366,-31.639476,-60.633072,Argentina,0.038356452,0.065742959,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,56,0.5,34,1461,-25.753,-54.54,Argentina,0.058783267,0.058783267,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.001796875,0.002521016,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,2,14,250,2587,-20.552911,-55.549228,Brazil,0.002257441,0.003869254,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,4,7,45,366,-30.347781,-53.998679,Brazil,0.73132969,1.253499089,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,4,7,63,242,-26.581324,-48.722133,Brazil,0.047881412,0.08206874,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,4,7,70,214,-20.187971,-54.806624,Brazil,0.024365821,0.041763017,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,6,4.666666667,26,761,-28.170158,-52.314813,Brazil,0.129131709,0.221331749,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,1.67,16.76646707,70,344,-25.755959,-57.729048,Paraguay,0.045473422,0.077941445,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,8,3.5,28,245,-19.936923,-40.482438,Brazil,0.053206997,0.091196793,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,8,3.5,29,365,-30.117957,-53.619222,Brazil,3.655172414,6.264965518,524.38,0.000922,6,74,,1,2.31,5,1,6,
Rodentia,Caviidae,cavia aperea,LC,672,0.041666667,366,1461,-24.866723,-50.445759,Brazil,0.00273037,0.00273037,524.38,0.000922,6,74,,1,2.31,5,1,6,
Carnivora,Canidae,cerdocyon thous,LC,3.6,7.777777778,80.27,151,11.019911,-74.213309,Colombia,0.18068159,0.263253077,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,2,14,920,426,-20.490151,-54.80721,Brazil,0.222583691,0.324304438,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,3,9.333333333,26,366,-31.639476,-60.633072,Argentina,0.268495166,0.391197457,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,56,0.5,34,1461,-25.753,-54.54,Argentina,0.433526593,0.433526593,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,4,7,90,610,-25.54553,-48.78396,Brazil,0.119672131,0.174362295,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.009812883,0.014297371,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,4,7,100,365,-13.561588,-58.421854,Brazil,0.42,0.61194,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.017968753,0.021490629,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,2,14,250,2587,-20.552911,-55.549228,Brazil,0.100456127,0.146364577,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,4,7,96,365,-19.36333333,-48.07916667,Brazil,0.541666667,0.789208334,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,4,7,192,365,-19.278735,-48.122972,Brazil,0.270833333,0.394604166,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,16,1.75,92,153,2.240471,-76.770907,Colombia,0.025930662,0.033554277,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1,28,195,373,-29.660601,-49.980385,Brazil,0.215783323,0.314396302,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,4,7,45,366,-30.347781,-53.998679,Brazil,0.177292046,0.258314511,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,8,3.5,55,366,-18.232298,-50.431983,Brazil,0.380774963,0.554789121,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,4,7,63,242,-26.581324,-48.722133,Brazil,0.071822117,0.104644824,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1.69,16.56804734,255,396,-24.739094,-65.028936,Argentina,0.003614577,0.005266439,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,4,7,216,538,-16.575593,-50.261,Brazil,0.185314264,0.270002883,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1,28,67,304,-28.983732,-53.646553,Brazil,0.089601335,0.130549145,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,3,9.333333333,197,183,-16.598535,-50.195063,Brazil,0.101245458,0.147514632,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,4,7,70,214,-20.187971,-54.806624,Brazil,0.511682243,0.745521028,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,8,3.5,27.2,182,9.489191,-75.514281,Colombia,3.465376535,5.049053611,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,24,1.166666667,99.3,183,9.508766,-75.236148,Colombia,0.964125931,1.153094613,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1,28,215,457,-20.387782,-56.100565,Brazil,0.237748715,0.346399878,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,8.33,3.361344538,107,90,4.390395,-73.297052,Colombia,0.22741433,0.331342679,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,672,0.041666667,57.5,1765,-20.580677,-40.417217,Brazil,0.237369134,0.237369134,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,224,0.125,160,790,-22.267404,-48.202888,Brazil,0.092405063,0.092405063,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,8,3.5,25,1310,-6.115415,-49.990498,Brazil,0.12259542,0.178621527,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,6,4.666666667,26,761,-28.170158,-52.314813,Brazil,0.387395128,0.564434701,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,2,14,12,305,-29.878831,-50.16805,Brazil,0.598360656,0.871811476,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,12,2.333333333,59.6,730,-19.72597,-40.644482,Brazil,0.067114094,0.086845638,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1.67,16.76646707,70,344,-25.755959,-57.729048,Paraguay,0.348629568,0.507953281,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1.83,15.30054645,63,365,-15.79053,-56.654475,Brazil,0.571428571,0.832571428,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,2,14,75,245,7.082591,-73.718817,Colombia,0.496598639,0.723544217,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1,28,802,396,-17.859419,-51.730303,Brazil,0.22755611,0.331549252,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,8,3.5,49,182,9.821408,-75.442693,Colombia,1.514352994,2.206412312,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,672,0.041666667,412,303,-26.07434,-49.744804,Brazil,0.020466853,0.020466853,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,8,3.5,178.8,91,9.017987,-73.633823,Colombia,0.695417558,1.013223382,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,12,2.333333333,36,730,-1.005806,-46.774428,Brazil,0.069444444,0.089861111,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1,28,572,153,9.587135,-67.303008,Venezuela,0.050047991,0.072919923,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1,28,180,334,-7.063913,-36.564084,Brazil,0.528193613,0.769578094,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,40,0.7,12,488,-22.246302,-47.839529,Brazil,0.062329235,0.062329235,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,16,1.75,130,304,-20.675583,-43.349806,Brazil,0.02770749,0.035853492,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1,28,74,599,8.90034,-69.403086,Venezuela,0.074110003,0.107978274,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,8,3.5,29,365,-30.117957,-53.619222,Brazil,0.172413793,0.251206896,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,8,3.5,130,426,-7.167969,-35.367968,Brazil,0.191133983,0.278482213,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,2.5,11.2,110,365,-11.646886,-61.54987,Brazil,0.109090909,0.158945454,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,1,28,280,365,-15.159661,-56.55916,Brazil,0.428571429,0.624428572,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,0.72,38.88888889,51.9,547,9.784776,-69.152523,Venezuela,0.411422613,0.599442747,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Carnivora,Canidae,cerdocyon thous,LC,4,7,115,365,-11.904988,-48.737133,Brazil,0.12173913,0.177373912,5741.66,1.41,11.5,276.05452,2,2,3.545,1.9,3,9,0.41
Pilosa,Megalonychidae,choloepus didactylus,LC,8.33,3.361344538,107,90,4.390395,-73.297052,Colombia,0.037902388,0.055223779,6250,5.65,32.28333333,1270.87,1,2,1,1,2,1,
Pilosa,Megalonychidae,choloepus didactylus,LC,8,3.5,25,1310,-6.115415,-49.990498,Brazil,0.033435115,0.048714963,6250,5.65,32.28333333,1270.87,1,2,1,1,2,1,
Carnivora,Canidae,chrysocyon brachyurus,NT,2,14,920,426,-20.490151,-54.80721,Brazil,0.006519188,0.009498457,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.034345091,0.050040798,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,4,7,100,365,-13.561588,-58.421854,Brazil,0.01,0.01457,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.010781252,0.012894377,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,2,14,250,2587,-20.552911,-55.549228,Brazil,0.002257441,0.003289092,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,4,7,96,365,-19.36333333,-48.07916667,Brazil,0.083333333,0.121416666,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,4,7,192,365,-19.278735,-48.122972,Brazil,0.041666667,0.060708334,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,8,3.5,55,366,-18.232298,-50.431983,Brazil,0.018132141,0.026418529,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,4,7,216,538,-16.575593,-50.261,Brazil,0.012563679,0.01830528,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,3,9.333333333,197,183,-16.598535,-50.195063,Brazil,0.010124546,0.014751464,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,224,0.125,160,790,-22.267404,-48.202888,Brazil,0.028876582,0.028876582,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,1,28,802,396,-17.859419,-51.730303,Brazil,0.012642006,0.018419403,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,40,0.7,12,488,-22.246302,-47.839529,Brazil,0.12465847,0.12465847,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,672,0.041666667,366,1461,-24.866723,-50.445759,Brazil,0.014334444,0.014334444,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Carnivora,Canidae,chrysocyon brachyurus,NT,4,7,115,365,-11.904988,-48.737133,Brazil,0.008695652,0.012669565,23249.84,21.36,15.66666667,730,,2,2.5,1,5,6,
Rodentia,Erethizontidae,coendou prehensilis,LC,4,7,96,365,-19.36333333,-48.07916667,Brazil,0.03125,0.04553125,4116.2,0.14,17.31666667,578.284,1,2,0.99,1.11,2,1,
Rodentia,Erethizontidae,coendou prehensilis,LC,4,7,192,365,-19.278735,-48.122972,Brazil,0.015625,0.022765625,4116.2,0.14,17.31666667,578.284,1,2,0.99,1.11,2,1,
Rodentia,Erethizontidae,coendou prehensilis,LC,8,3.5,55,366,-18.232298,-50.431983,Brazil,0.036264282,0.052837059,4116.2,0.14,17.31666667,578.284,1,2,0.99,1.11,2,1,
